Timestamp,Value
2025-06-06T19:01:28Z,960
2025-06-06T19:01:29Z,799
2025-06-06T19:01:30Z,773
2025-06-06T19:01:31Z,560
2025-06-06T19:01:32Z,189
2025-06-06T19:01:33Z,670
2025-06-06T19:01:34Z,591
2025-06-06T19:01:35Z,146
2025-06-06T19:01:36Z,964
2025-06-06T19:01:37Z,726
2025-06-06T19:01:38Z,68
2025-06-06T19:01:39Z,110
2025-06-06T19:01:40Z,436
2025-06-06T19:01:41Z,737
2025-06-06T19:01:42Z,691
2025-06-06T19:01:43Z,532
2025-06-06T19:01:44Z,817
2025-06-06T19:01:45Z,890
2025-06-06T19:01:46Z,697
2025-06-06T19:01:47Z,916
2025-06-06T19:01:48Z,979
2025-06-06T19:01:49Z,995
2025-06-06T19:01:50Z,498
2025-06-06T19:01:51Z,59
2025-06-06T19:01:52Z,786
2025-06-06T19:01:53Z,560
2025-06-06T19:01:54Z,547
2025-06-06T19:01:55Z,639
2025-06-06T19:01:56Z,377
2025-06-06T19:01:57Z,755
2025-06-06T19:01:58Z,79
2025-06-06T19:01:59Z,469
2025-06-06T19:02:00Z,960
2025-06-06T19:02:01Z,17
2025-06-06T19:02:02Z,435
2025-06-06T19:02:03Z,753
2025-06-06T19:02:04Z,855
2025-06-06T19:02:05Z,110
2025-06-06T19:02:06Z,854
2025-06-06T19:02:07Z,61
2025-06-06T19:02:08Z,188
2025-06-06T19:02:09Z,455
2025-06-06T19:02:10Z,183
2025-06-06T19:02:11Z,892
2025-06-06T19:02:12Z,515
2025-06-06T19:02:13Z,853
2025-06-06T19:02:14Z,696
2025-06-06T19:02:15Z,357
2025-06-06T19:02:16Z,640
2025-06-06T19:02:17Z,622
2025-06-06T19:02:18Z,605
2025-06-06T19:02:19Z,928
2025-06-06T19:02:20Z,767
2025-06-06T19:02:21Z,869
2025-06-06T19:02:22Z,555
2025-06-06T19:02:23Z,305
2025-06-06T19:02:24Z,941
2025-06-06T19:02:25Z,217
2025-06-06T19:02:26Z,35
2025-06-06T19:02:27Z,176
2025-06-06T19:02:28Z,651
2025-06-06T19:02:29Z,122
2025-06-06T19:02:30Z,714
2025-06-06T19:02:31Z,983
2025-06-06T19:02:32Z,503
2025-06-06T19:02:33Z,900
2025-06-06T19:02:34Z,955
2025-06-06T19:02:35Z,613
2025-06-06T19:02:36Z,899
2025-06-06T19:02:37Z,695
2025-06-06T19:02:38Z,988
2025-06-06T19:02:39Z,650
2025-06-06T19:02:40Z,867
2025-06-06T19:02:41Z,53
2025-06-06T19:02:42Z,408
2025-06-06T19:02:43Z,751
2025-06-06T19:02:44Z,634
2025-06-06T19:02:45Z,7
2025-06-06T19:02:46Z,297
2025-06-06T19:02:47Z,460
2025-06-06T19:02:48Z,553
2025-06-06T19:02:49Z,708
2025-06-06T19:02:50Z,785
2025-06-06T19:02:51Z,477
2025-06-06T19:02:52Z,146
2025-06-06T19:02:53Z,317
2025-06-06T19:02:54Z,180
2025-06-06T19:02:55Z,163
2025-06-06T19:02:56Z,538
2025-06-06T19:02:57Z,272
2025-06-06T19:02:58Z,531
2025-06-06T19:02:59Z,549
2025-06-06T19:03:00Z,714
2025-06-06T19:03:01Z,614
2025-06-06T19:03:02Z,854
2025-06-06T19:03:03Z,175
2025-06-06T19:03:04Z,722
2025-06-06T19:03:05Z,143
2025-06-06T19:03:06Z,286
2025-06-06T19:03:07Z,628
